,0,1,2,3
95,0.41767216,-1.136924,-1.0631635,0.0
96,-0.32415572,-1.4705782,-0.35775152,0.0
97,-0.019001815,-1.1823024,-1.122603,0.0
98,-0.18552211,-1.1971195,-1.2267786,0.0
99,0.48315698,-1.1677482,-1.0424013,0.0
100,-0.011531956,-1.2107499,-1.249961,0.0
101,-0.10285171,-1.2107008,-1.0411656,0.0
102,1.52277,0.087759666,-0.99253565,6.0
103,1.295226,0.13785368,-0.83801645,6.0
104,0.2351655,-1.6613969,-0.6679609,0.0
105,1.6439362,-1.9012084,0.7837598,3.0
106,1.6629025,-1.8530543,0.66923046,3.0
107,-0.9865363,-0.6801248,1.1483077,4.0
108,-1.5903108,-0.94002604,1.0808375,4.0
109,-1.7094407,-0.148688,0.4566911,1.0
110,-2.088533,0.26681575,0.22400095,1.0
111,-2.0309665,0.46043083,0.20543619,1.0
112,-1.8389322,0.42678207,0.13904217,1.0
113,0.26374573,-1.5305698,-1.0853275,0.0
114,0.051960863,-1.7172076,-1.0660201,0.0
115,-0.024795402,-1.382319,-1.0041785,0.0
116,-0.29956576,-1.459672,-0.9776358,0.0
117,-0.06273855,-1.4058639,-0.910232,0.0
118,-0.5576602,-1.3950588,-0.7668132,0.0
119,0.55666745,-0.23776406,-1.2358364,0.0
120,0.63159186,-0.22086401,-1.231203,0.0
121,1.9779103,-0.39966434,1.8209249,3.0
122,1.5987481,-0.57202375,1.584238,3.0
123,-0.5315933,-0.996057,1.8072706,4.0
124,-0.9417068,-1.6486758,1.6510214,4.0
125,-0.7723611,0.5262823,-0.011359216,1.0
126,-0.6777508,0.713585,0.180384,1.0
127,-1.1165553,1.4092458,0.37581575,1.0
128,-1.0076941,1.1363237,0.43701053,1.0
129,0.6604757,-0.5608895,0.11344695,2.0
130,0.38033482,-0.7033861,-0.033068143,2.0
131,-0.39682856,-0.706031,-0.6787191,0.0
132,-0.22345686,-0.60197675,-0.61746293,0.0
133,-0.11677698,-0.6302421,-0.68291366,0.0
134,-0.16559716,-0.6122992,-0.5029446,0.0
135,-0.4103903,-0.6991106,-0.7101139,0.0
136,0.96148306,2.39894,-0.7156037,6.0
137,1.0574749,2.0130205,-0.32168528,6.0
138,1.052811,-0.53971994,1.8708459,3.0
139,1.00644,-0.52077776,1.8929907,3.0
140,-0.4129424,-0.09756933,1.5531058,4.0
141,-0.43027017,-0.08571068,1.384537,4.0
142,-1.2330819,0.057130933,-2.169394,0.0
143,-1.270029,0.0352277,-2.2962592,0.0
144,-1.1731664,1.2861917,0.40875286,1.0
145,-1.2400831,1.1119463,0.3191707,1.0
146,-1.4279963,1.4234303,0.30274704,1.0
147,-1.1888715,1.348173,0.43269566,1.0
148,0.21981786,-0.93658465,0.115021706,2.0
149,0.21970434,-0.79352623,0.13480394,2.0
150,-0.7831613,-0.9828802,-0.5151776,0.0
151,-0.73284954,-1.0662942,-0.61873794,0.0
152,-0.813174,-1.0022844,-0.47271037,0.0
153,-0.6878348,-0.8851714,-0.32471788,0.0
154,-0.8331451,-0.82826823,-0.24004422,0.0
155,0.833599,1.4595456,1.0528934,6.0
156,0.746636,1.3650762,0.9624493,6.0
157,0.5515814,-1.2702333,0.66116226,3.0
158,0.41287413,-1.4121326,0.64423895,3.0
159,-1.1662441,-1.1758474,0.8217099,4.0
160,-1.2239251,-0.9548818,1.1085403,4.0
161,-1.2653422,1.4488243,-0.09883703,1.0
162,-1.2561629,1.1365634,-0.0022820905,1.0
163,-1.5764858,1.5564729,0.6537259,1.0
164,-1.5582695,1.5486126,0.58875114,1.0
165,-0.06518214,-1.0283128,-0.35885024,2.0
166,0.28133112,-0.47591558,-0.2571595,2.0
167,-1.1826594,-1.045071,-1.0154935,0.0
168,-1.1411186,-0.9178723,-0.9952988,0.0
169,-0.66334856,-0.76839375,-0.75657785,0.0
170,-1.3017619,-0.9846416,-0.94599223,0.0
171,-1.167305,-0.7107511,-1.168758,0.0
172,0.99384815,1.8024141,-0.6199984,6.0
173,0.9146241,1.5185272,-0.5355944,6.0
174,1.1417363,-1.9446977,0.9551712,3.0
175,1.2880912,-1.5383593,0.7392934,3.0
176,-1.3975387,-0.64518285,1.3006469,4.0
177,-1.6492002,-0.5901489,1.22506,4.0
178,-1.8554254,0.7265573,0.023106972,1.0
179,-1.8867614,0.61037153,0.07417529,1.0
180,-2.2405584,1.1534669,0.15371193,1.0
181,-2.21177,1.0706085,0.16855496,1.0
182,1.2096039,-1.4389765,-0.59428436,2.0
183,0.8039426,-1.6000226,-0.21284704,2.0
184,-0.5505813,-0.22147153,-0.70426553,0.0
185,-1.1169915,-0.8783735,-1.6459622,0.0
186,-0.5370675,-0.8857391,-1.1419185,0.0
187,-0.71765834,-0.5418882,-1.4176216,0.0
188,-0.882274,-0.69130313,-0.84063584,0.0
189,1.7539126,1.0360343,-0.71417904,6.0
190,1.7273011,1.0259416,-0.7191115,6.0
191,0.58267367,-1.8807216,0.35160637,3.0
192,0.35885534,-1.5706006,0.76052684,3.0
193,-1.6286405,-1.0167986,1.3380557,4.0
194,-1.460481,-1.0637314,1.159319,4.0
195,-1.0623164,-0.02153902,-0.68849975,1.0
196,-1.2935354,0.9144531,-0.37701863,1.0
197,-1.2951891,1.0779532,-0.40121725,1.0
198,-0.9964635,0.7822087,-0.44390532,1.0
199,-0.1640016,-0.64102775,-0.71117514,0.0
200,0.33270723,-0.95824325,-0.44111463,2.0
201,0.20119427,-1.234635,-0.35675856,2.0
202,-0.870427,-1.3171588,-1.1773343,0.0
203,-0.8198472,-1.6108474,-1.0290561,0.0
204,-0.78285533,-1.0641267,-0.72851807,0.0
205,-0.94666547,-1.2913965,-1.0280613,0.0
206,0.653202,1.9358673,-0.8827261,6.0
207,0.5673567,1.571175,-0.8132175,6.0
208,0.6394103,-0.025649928,0.8421835,3.0
209,0.4936745,-0.2492541,0.7646259,3.0
210,-0.27057365,0.08601889,1.0973932,4.0
211,-0.0052062357,0.7676925,1.3162409,4.0
212,0.32527244,1.0821139,-0.41740808,5.0
213,0.37135845,0.97752786,-0.2857702,5.0
214,-0.6123196,1.2724425,0.7226932,1.0
215,-0.7167065,1.3967468,0.60688007,1.0
216,-0.6317984,1.6789902,0.8959262,1.0
217,-0.5282307,1.6065896,1.0136718,1.0
218,0.40368232,0.13565353,0.37178713,2.0
219,0.36747187,0.120277524,0.3640286,2.0
